G4613,Hanzhong Railway Station,Yangxianxi Railway Station,First Class,15,200,2023-01-05 09:23:53,2023-01-25 09:44:56
G4613,Hanzhong Railway Station,Yangxianxi Railway Station,First Class,15,200,2023-01-05 09:23:53,2023-01-25 09:44:56
G4032,Hanzhong Railway Station,Yangxianxi Railway Station,Second Class,13,150,2023-09-14 23:10:13,2023-12-10 00:10:40
G4641,Linfenxi Railway Station,Houmaxi Railway Station,First Class,20,98,2023-04-17 12:01:27,2023-06-04 04:41:38
G7917,Linfenxi Railway Station,Houmaxi Railway Station,Second Class,15,69,2023-07-01 05:25:31,2023-12-05 07:45:56
G7884,Shanghai Railway Station,Huaqiao Railway Station,First Class,14,0,2023-10-26 02:35:49,2023-10-26 06:35:49
G4698,Shanghai Railway Station,Huaqiao Railway Station,Second Class,10,185,2023-10-06 16:37:08,2023-10-06 21:37:08
G2828,Lianyungang Railway Station,Lianshui Railway Station,First Class,39,69,2023-05-16 17:04:08,2023-11-04 18:47:06
G9846,Lianyungang Railway Station,Lianshui Railway Station,Second Class,31,190,2023-04-21 09:47:19,2023-11-10 17:46:20
G5420,Shanghai Railway Station,Shanghaihongqiao Railway Station,First Class,11,17,2023-04-21 19:40:06,2023-05-09 17:44:46
G7365,Shanghai Railway Station,Shanghaihongqiao Railway Station,Second Class,9,125,2023-03-18 14:50:10,2023-03-18 18:50:10
G2219,Chengdudong Railway Station,Jianyangnan Railway Station,First Class,83,86,2023-02-14 18:05:00,2023-11-10 22:30:26
G6553,Chengdudong Railway Station,Jianyangnan Railway Station,Second Class,72,58,2023-10-14 08:44:47,2023-12-05 21:30:20
G1047,Huangshanbei Railway Station,Shangrao Railway Station,First Class,52,167,2023-10-21 21:58:51,2023-10-22 06:58:51
G3797,Huangshanbei Railway Station,Shangrao Railway Station,Second Class,44,151,2023-03-26 23:08:57,2023-11-25 01:32:09
G9417,Miluodong Railway Station,Yueyangdong Railway Station,First Class,22,65,2023-06-26 05:28:12,2023-12-31 15:47:44
G6104,Miluodong Railway Station,Yueyangdong Railway Station,Second Class,21,184,2023-07-25 15:24:40,2023-07-25 22:24:40
G5117,Shangrao Railway Station,Nanchang Railway Station,First Class,82,108,2023-05-27 14:40:25,2023-12-20 20:57:38
G6170,Shangrao Railway Station,Nanchang Railway Station,Second Class,70,120,2023-07-14 23:07:03,2023-07-15 02:07:03
G4980,Yuyaobei Railway Station,Ningbo Railway Station,First Class,15,51,2023-08-22 20:39:54,2023-08-23 02:39:54
G3731,Yuyaobei Railway Station,Ningbo Railway Station,Second Class,14,45,2023-03-31 19:13:54,2023-03-31 21:13:54
G7435,Liaoyang Railway Station,Gaizhouxi Railway Station,First Class,49,134,2023-07-08 06:35:34,2023-08-05 20:40:25
G8295,Liaoyang Railway Station,Gaizhouxi Railway Station,Second Class,38,155,2023-06-22 20:29:03,2023-10-25 18:06:41
G4977,Yanping Railway Station,Fuzhou Railway Station,First Class,43,26,2023-01-06 03:23:06,2023-02-08 05:05:24
G9436,Yanping Railway Station,Fuzhou Railway Station,Second Class,36,47,2023-10-20 23:17:40,2023-10-21 04:17:40
G4168,Shenyangbei Railway Station,Changtuxi Railway Station,First Class,47,171,2023-10-23 12:09:18,2023-11-12 04:51:22
G2742,Shenyangbei Railway Station,Changtuxi Railway Station,Second Class,36,0,2023-09-27 05:55:25,2023-09-27 15:55:25
G5662,Sanmenxianan Railway Station,Weinanbei Railway Station,First Class,67,92,2023-05-07 01:41:27,2023-06-29 10:19:36
G3028,Sanmenxianan Railway Station,Weinanbei Railway Station,Second Class,52,163,2023-04-28 01:09:57,2023-10-13 14:24:37
G2944,Shangqiu Railway Station,Xuzhoudong Railway Station,First Class,55,163,2023-03-25 22:30:46,2023-06-25 00:07:51
G7873,Shangqiu Railway Station,Xuzhoudong Railway Station,Second Class,44,121,2023-04-06 18:21:36,2023-09-02 19:31:47
G4371,Qiandaohu Railway Station,Jiande Railway Station,First Class,10,114,2023-05-09 23:16:46,2023-12-29 22:22:27
G2677,Qiandaohu Railway Station,Jiande Railway Station,Second Class,9,171,2023-09-20 08:18:23,2023-09-20 16:18:23
G7075,Guangzhounan Railway Station,Qingsheng Railway Station,First Class,11,121,2023-10-24 19:29:06,2023-10-25 06:29:06
G3443,Guangzhounan Railway Station,Qingsheng Railway Station,Second Class,9,194,2023-02-20 00:30:22,2023-10-03 13:14:37
G8211,Shijiazhuang Railway Station,Hebidong Railway Station,First Class,94,135,2023-12-20 05:35:29,2023-12-20 15:35:29
G7611,Shijiazhuang Railway Station,Hebidong Railway Station,Second Class,76,18,2023-03-20 06:30:10,2023-10-20 05:55:48
G2165,Shenzhenbei Railway Station,Qingsheng Railway Station,First Class,26,82,2023-10-31 02:44:44,2023-10-31 11:44:44
G8923,Shenzhenbei Railway Station,Qingsheng Railway Station,Second Class,18,182,2023-05-16 17:17:48,2023-05-16 21:17:48
G2956,Suzhoubei Railway Station,Shanghaihongqiao Railway Station,First Class,25,44,2023-04-16 08:20:25,2023-11-09 11:55:30
G9286,Suzhoubei Railway Station,Shanghaihongqiao Railway Station,Second Class,21,123,2023-08-31 15:39:27,2023-08-31 23:39:27
G1642,Qianjiang Railway Station,Yichangdong Railway Station,First Class,48,20,2023-09-22 22:33:38,2023-11-14 05:51:23
G8354,Qianjiang Railway Station,Yichangdong Railway Station,Second Class,40,149,2023-06-17 23:13:21,2023-08-12 10:10:09
G7354,Huainannan Railway Station,Shouxian Railway Station,First Class,8,162,2023-01-09 10:03:48,2023-02-27 08:49:46
G4523,Huainannan Railway Station,Shouxian Railway Station,Second Class,6,140,2023-04-21 10:56:51,2023-04-21 13:56:51
G2861,Daqingdong Railway Station,Qiqihaernan Railway Station,First Class,47,62,2023-06-27 14:24:43,2023-06-27 22:24:43
